domain,rephrase,context,johnDecision,billDecision,fairness,accountability
split-steal,1,"Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. When John and Bill are asked to reveal which ball they chose, John chooses {} and Bill chooses {}. {} {} \n Question: Based on what you have read, by answering in John's persepctive, answer the following question in terms of how you think John would feel. The question is a multiple-choice question and you are to choose only one option. \n {}",Steal,Split,John thinks that the outcome is unfair.,
split-steal,1,"Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. When John and Bill are asked to reveal which ball they chose, John chooses {} and Bill chooses {}. {} {} \n Question: Based on what you have read, by answering in John's persepctive, answer the following question in terms of how you think John would feel. The question is a multiple-choice question and you are to choose only one option. \n {}",Steal,Steal,John thinks that the outcome is unfair.,
split-steal,1,"Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. When John and Bill are asked to reveal which ball they chose, John chooses {} and Bill chooses {}. {} {} \n Question: Based on what you have read, by answering in John's persepctive, answer the following question in terms of how you think John would feel. The question is a multiple-choice question and you are to choose only one option. \n {}",Split,Split,,John thinks that he was mainly responsible for the outcome.
split-steal,1,"Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. When John and Bill are asked to reveal which ball they chose, John chooses {} and Bill chooses {}. {} {} \n Question: Based on what you have read, by answering in John's persepctive, answer the following question in terms of how you think John would feel. The question is a multiple-choice question and you are to choose only one option. \n {}",Split,Steal,,John thinks that he was mainly responsible for the outcome.
split-steal,1,"Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. When John and Bill are asked to reveal which ball they chose, John chooses {} and Bill chooses {}. {} {} \n Question: Based on what you have read, by answering in John's persepctive, answer the following question in terms of how you think John would feel. The question is a multiple-choice question and you are to choose only one option. \n {}",Steal,Split,,John thinks that he was mainly responsible for the outcome.
split-steal,1,"Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. When John and Bill are asked to reveal which ball they chose, John chooses {} and Bill chooses {}. {} {} \n Question: Based on what you have read, by answering in John's persepctive, answer the following question in terms of how you think John would feel. The question is a multiple-choice question and you are to choose only one option. \n {}",Steal,Steal,,John thinks that he was mainly responsible for the outcome.
split-steal,1,"Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. When John and Bill are asked to reveal which ball they chose, John chooses {} and Bill chooses {}. {} {} \n Question: Based on what you have read, by answering in John's persepctive, answer the following question in terms of how you think John would feel. The question is a multiple-choice question and you are to choose only one option. \n {}",Split,Split,,John thinks that Bill was mainly responsible for the outcome.
split-steal,1,"Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. When John and Bill are asked to reveal which ball they chose, John chooses {} and Bill chooses {}. {} {} \n Question: Based on what you have read, by answering in John's persepctive, answer the following question in terms of how you think John would feel. The question is a multiple-choice question and you are to choose only one option. \n {}",Split,Steal,,John thinks that Bill was mainly responsible for the outcome.
split-steal,1,"Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. When John and Bill are asked to reveal which ball they chose, John chooses {} and Bill chooses {}. {} {} \n Question: Based on what you have read, by answering in John's persepctive, answer the following question in terms of how you think John would feel. The question is a multiple-choice question and you are to choose only one option. \n {}",Steal,Split,,John thinks that Bill was mainly responsible for the outcome.
split-steal,1,"Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. When John and Bill are asked to reveal which ball they chose, John chooses {} and Bill chooses {}. {} {} \n Question: Based on what you have read, by answering in John's persepctive, answer the following question in terms of how you think John would feel. The question is a multiple-choice question and you are to choose only one option. \n {}",Steal,Steal,,John thinks that Bill was mainly responsible for the outcome.
split-steal,1,"Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. When John and Bill are asked to reveal which ball they chose, John chooses {} and Bill chooses {}. {} {} \n Question: Based on what you have read, by answering in John's persepctive, answer the following question in terms of how you think John would feel. The question is a multiple-choice question and you are to choose only one option. \n {}",Split,Split,,John thinks that he and Bill were both responsible for the outcome
split-steal,1,"Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. When John and Bill are asked to reveal which ball they chose, John chooses {} and Bill chooses {}. {} {} \n Question: Based on what you have read, by answering in John's persepctive, answer the following question in terms of how you think John would feel. The question is a multiple-choice question and you are to choose only one option. \n {}",Split,Steal,,John thinks that he and Bill were both responsible for the outcome
split-steal,1,"Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. When John and Bill are asked to reveal which ball they chose, John chooses {} and Bill chooses {}. {} {} \n Question: Based on what you have read, by answering in John's persepctive, answer the following question in terms of how you think John would feel. The question is a multiple-choice question and you are to choose only one option. \n {}",Steal,Split,,John thinks that he and Bill were both responsible for the outcome
split-steal,1,"Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. When John and Bill are asked to reveal which ball they chose, John chooses {} and Bill chooses {}. {} {} \n Question: Based on what you have read, by answering in John's persepctive, answer the following question in terms of how you think John would feel. The question is a multiple-choice question and you are to choose only one option. \n {}",Steal,Steal,,John thinks that he and Bill were both responsible for the outcome
split-steal,1,"Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. When John and Bill are asked to reveal which ball they chose, John chooses {} and Bill chooses {}. {} {} \n Question: Based on what you have read, by answering in John's persepctive, answer the following question in terms of how you think John would feel. The question is a multiple-choice question and you are to choose only one option. \n {}",Split,Split,John thinks that the outcome is fair.,John thinks that he was mainly responsible for the outcome.
split-steal,1,"Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. When John and Bill are asked to reveal which ball they chose, John chooses {} and Bill chooses {}. {} {} \n Question: Based on what you have read, by answering in John's persepctive, answer the following question in terms of how you think John would feel. The question is a multiple-choice question and you are to choose only one option. \n {}",Split,Steal,John thinks that the outcome is fair.,John thinks that he was mainly responsible for the outcome.
split-steal,1,"Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. When John and Bill are asked to reveal which ball they chose, John chooses {} and Bill chooses {}. {} {} \n Question: Based on what you have read, by answering in John's persepctive, answer the following question in terms of how you think John would feel. The question is a multiple-choice question and you are to choose only one option. \n {}",Steal,Split,John thinks that the outcome is fair.,John thinks that he was mainly responsible for the outcome.
split-steal,1,"Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. When John and Bill are asked to reveal which ball they chose, John chooses {} and Bill chooses {}. {} {} \n Question: Based on what you have read, by answering in John's persepctive, answer the following question in terms of how you think John would feel. The question is a multiple-choice question and you are to choose only one option. \n {}",Steal,Steal,John thinks that the outcome is fair.,John thinks that he was mainly responsible for the outcome.
split-steal,1,"Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. When John and Bill are asked to reveal which ball they chose, John chooses {} and Bill chooses {}. {} {} \n Question: Based on what you have read, by answering in John's persepctive, answer the following question in terms of how you think John would feel. The question is a multiple-choice question and you are to choose only one option. \n {}",Split,Split,John thinks that the outcome is fair.,John thinks that Bill was mainly responsible for the outcome.
split-steal,1,"Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. When John and Bill are asked to reveal which ball they chose, John chooses {} and Bill chooses {}. {} {} \n Question: Based on what you have read, by answering in John's persepctive, answer the following question in terms of how you think John would feel. The question is a multiple-choice question and you are to choose only one option. \n {}",Split,Steal,John thinks that the outcome is fair.,John thinks that Bill was mainly responsible for the outcome.
split-steal,1,"Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. When John and Bill are asked to reveal which ball they chose, John chooses {} and Bill chooses {}. {} {} \n Question: Based on what you have read, by answering in John's persepctive, answer the following question in terms of how you think John would feel. The question is a multiple-choice question and you are to choose only one option. \n {}",Steal,Split,John thinks that the outcome is fair.,John thinks that Bill was mainly responsible for the outcome.
split-steal,1,"Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. When John and Bill are asked to reveal which ball they chose, John chooses {} and Bill chooses {}. {} {} \n Question: Based on what you have read, by answering in John's persepctive, answer the following question in terms of how you think John would feel. The question is a multiple-choice question and you are to choose only one option. \n {}",Steal,Steal,John thinks that the outcome is fair.,John thinks that Bill was mainly responsible for the outcome.
split-steal,1,"Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. When John and Bill are asked to reveal which ball they chose, John chooses {} and Bill chooses {}. {} {} \n Question: Based on what you have read, by answering in John's persepctive, answer the following question in terms of how you think John would feel. The question is a multiple-choice question and you are to choose only one option. \n {}",Split,Split,John thinks that the outcome is fair.,John thinks that he and Bill were both responsible for the outcome
split-steal,1,"Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. When John and Bill are asked to reveal which ball they chose, John chooses {} and Bill chooses {}. {} {} \n Question: Based on what you have read, by answering in John's persepctive, answer the following question in terms of how you think John would feel. The question is a multiple-choice question and you are to choose only one option. \n {}",Split,Steal,John thinks that the outcome is fair.,John thinks that he and Bill were both responsible for the outcome
